Category,Document
Reporting mechanism,"Don't have a GitHub account? - Alternatively, drop an email to our [aio-libs security] mailbox instead of
filing a ticket or posting to _any_ public groups. It is currently set up to
forward every incoming letter to [Andrew Svetlov], [Sam Bull] and [Sviatoslav
Sydorenko]. You can choose to email us directly as well. We will try to assess
the problem in timely manner and disclose it in a responsible way.

[aio-libs security]:
mailto:""'%40aio-libs'%20security%20reports""%20<security@aio-libs.org>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Andrew Svetlov]:
mailto:""Andrew%20'%40asvetlov'%20Svetlov""%20<andrew.svetlov+aio-libs-security@gmail.com>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Sam Bull]:
mailto:""Sam%20'%40dreamsorcerer'%20Bull""%20<aio-libs-sec@sambull.org>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A
[Sviatoslav Sydorenko]:
mailto:""Sviatoslav%20'%40webknjaz'%20Sydorenko""%20<wk+aio-libs-security@sydorenko.org.ua>?subject=[Security%20issue%20report]%20[PROJECT_NAME]%20SHORT%20TITLE...&body=I%20am%20writing%20to%20inform%20you%20that%20PROJECT_NAME%20has%20a%20pottential%20vulnerability%20and%20here%20are%20extremely%20detailed%20steps%20of%20how%20to%20exploit%20this%20dangerous%20behavior:%0D%0A%0D%0A1.%0D%0A2.%0D%0A3.%0D%0A%0D%0A"
Generic policy,Security Policy
Reporting mechanism,"Reporting a Vulnerability - Please read the guidelines on reporting security issues [on the
official website](https://www.python.org/dev/security/) for
instructions on how to report a security-related problem to
the Python Security Response Team responsibly.

To reach the response team, email `security at python dot org`."
Generic policy,"Security - See https://docs.wagtail.org/en/latest/contributing/security.html.

This information can also be found in our security.txt: https://wagtail.org/.well-known/security.txt"
Generic policy,Security Policy - This is a project of the [Apache Software Foundation](https://apache.org) and follows the ASF [vulnerability handling process](https://apache.org/security/#vulnerability-handling).
Reporting mechanism,Reporting a Vulnerability - To report a new vulnerability you have discovered please follow the [ASF vulnerability reporting process](https://apache.org/security/#reporting-a-vulnerability).
Reporting mechanism,"Security Policy - If you have discovered a security vulnerability in this project, please report it
privately. **Do not disclose it as a public issue.** This gives us time to work with you
to fix the issue before public exposure, reducing the chance that the exploit will be
used before a patch is released.

You may submit the report in the following ways:

- send an email to cosimo@anthrotype.com, behdad@behdad.org and fonttools-admin@googlegroups.com; and/or
- send us a [private vulnerability report](https://github.com/fonttools/fonttools/security/advisories/new)

Please provide the following information in your report:

- A description of the vulnerability and its impact
- How to reproduce the issue

Please allow us 90 days to work on a fix before public disclosure."
Generic policy,Security Policy
Scope of practise,"Supported Versions - For now `sqlparse` uses very defensive version numbers. There's no major version yet. 
In turn there's only one supported version and this is the latest."
Reporting mechanism,"Reporting a Vulnerability - To report a vulnerability head over to the [Security Advisories](https://github.com/andialbrecht/sqlparse/security/advisories) 
page and click on ""New draft security advisory"".

Feel free to contact me at albrecht.andi@gmail.com if you have any questions or want to discuss things
beforehand."
Generic policy,Security Policy
Scope of practise,"Supported Versions - In general, due to limited maintainer bandwidth, only the latest version of
Tornado is supported with patch releases. Exceptions may be made depending
on the severity of the bug and the feasibility of backporting a fix to
older releases."
Reporting mechanism,"Reporting a Vulnerability - Tornado uses GitHub's security advisory functionality for private vulnerability
reports. To make a private report, use the ""Report a vulnerability"" button on
https://github.com/tornadoweb/tornado/security/advisories"
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported                         |
| ------- | --------------------------------- |
| 2.0.x   | :x: (still in alpha/beta testing) |"
Reporting mechanism,"Reporting a Vulnerability - Please report vulnerabilities privately via Github:

https://github.com/moinwiki/moin/security

We will try to give you feedback and fix issues as soon as possible."
Generic policy,Security Policy
Scope of practise,"Supported Versions - Ansible applies security fixes according to the 3-versions-back support
policy. Please find more information in [our docs](
https://docs.ansible.com/ansible/devel/reference_appendices/release_and_maintenance.html#release-status
)."
Reporting mechanism,"Reporting a Vulnerability - We encourage responsible disclosure practices for security
vulnerabilities. Please read our [policies for reporting bugs](
https://docs.ansible.com/ansible/devel/community/reporting_bugs_and_features.html#reporting-a-bug
) if you want to report a security issue that might affect Ansible."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version  | Supported          |
| -------- | ------------------ |
| 0.21.x   | :white_check_mark: |
| 0.20.x   | :white_check_mark: |
| < 0.20.x | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - Please report security issues by e-mail to jelmer@jelmer.uk, ideally PGP
encrypted to the key at <https://jelmer.uk/D729A457.asc>"
Generic policy,Security Policy
Scope of practise,"Supported Versions - For the current supported version of SQLAlchemy, see ""Current Release Series"" at 
https://www.sqlalchemy.org/download.html#current."
Reporting mechanism,"Reporting a Vulnerability - SQLAlchemy participates in the Tidelift security infrastructure for reporting 
potential vulnerabilities reponsibly.  Please follow the guidelines at:

https://tidelift.com/docs/security

in order to report a security issue. Security-related issues in SQLAlchemy 
are extremely rare. Nevertheless, we would ask that you please do not file 
CVEs without emailing us first, so that proper disclosure steps may be taken."
Generic policy,Security Policy
Scope of practise,"Supported Versions - This project supports its released versions as follows:

- The [latest released version on Pypi](https://pypi.org/project/pywbem/)
  gets fixes, including security fixes.
- Earlier versions are not fixed anymore."
Reporting mechanism,"Reporting a Vulnerability - Please report vulnerabilities via the
[Security Advisories](https://github.com/pywbem/pywbem/security/advisories)
page of this project. This ensures that they are passed on to the maintainers
privately.

Do not report them as issues or pull requests, since that would reveal the
vulnerability before the maintainers have a chance to fix it. Note that even
with a pull request that fixes the vulnerability perfectly, it is revealed
publicly before a new version of the package can be released to Pypi."
Generic policy,Security Policy - The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [security update policy](https://plone.org/security/update-policy)

The [release schedule](https://plone.org/download/release-schedule) also has helpful information.

There may be hotfixes available to increase the security of your version of Plone. Please check the [available hotfixes](https://plone.org/security/hotfixes)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone Security Team via email: security@plone.org.
See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure.
Any offered for sale to third parties or submitted to public bug bounty programs will be treated as irresponsible public disclosure.
We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
Generic policy,Security Policy
Scope of practise,"Supported Versions - | Version | Supported          |
| ------- | ------------------ |
| 1.5.1+  | :white_check_mark: |
| < 1.5.1 | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - Please use the GitHub feature to report security vulnerabilities.

Expect a response within 2 business days (not on week ends or holidays).

If the vulnerbaility is confirmed and accepted you will be given instruction on any embargo or disclosure timeline."
Generic policy,Security Policies and Procedures
Reporting mechanism,Reporting an Issue - If you need to report a security issue please visit [Notifying Adobe of Security Issues](https://helpx.adobe.com/ca/security/alertus.html)
User guideline,Disclosure Policy - For more information on our disclosure policy please visit [Vulnerability Disclosure Program Policy](https://helpx.adobe.com/security/policy.html)
Generic policy,Security Policy
Scope of practise,"Supported Versions - These borg releases are currently supported with security updates.

| Version | Supported          |
|---------|--------------------|
| 2.0.x   | :x: (not released) |
| 1.2.x   | :white_check_mark: |
| 1.1.x   | :x:                |
| < 1.1   | :x:                |"
Reporting mechanism,"Reporting a Vulnerability - See there:

https://borgbackup.readthedocs.io/en/latest/support.html#security-contact"
Generic policy,Security Policy - The Zope developer community uses the same security policy as the Plone developer community. The most up to date information about Plone security is on https://plone.org/security
Scope of practise,"Supported Versions - For supported versions, see the [Zope development roadmap](https://www.zope.dev/developer/roadmap.html)."
Reporting mechanism,"Reporting a Vulnerability - Please do **NOT** create a public bug report if you think this may be a security issue.
Instead, please contact the Plone and Zope Security Team via email: security@plone.org. See also https://plone.org/security/report

Only bug reports submitted directly to the security team email will be treated as responsible disclosure. Any offered for sale to third parties or submitted to public bug bounty programmes will be treated as irresponsible public disclosure. We will not confirm any submissions on third party platforms such as ""huntr"" or ""hackerone"" and do not give permission for those systems to accept reports on our behalf or to represent themselves as a conduit for vulnerability reports."
